surname	country	bearers	incidence	rank_in_country
Booyzen	WORLD	646	1:11281031	507320
Booyzen	South Africa	616	1:87951	10814
Booyzen	Australia	16	1:1687231	81699
Booyzen	United Arab Emirates	6	1:1527046	51993
Booyzen	United States	3	1:120819644	1331040
Booyzen	Botswana	1	1:2186929	30250
Booyzen	Ireland	1	1:4708939	29543
Booyzen	England	1	1:55718059	489080
Booyzen	Saudi Arabia	1	1:30855817	63028
Booyzen	Turkey	1	1:77821422	191047
Booysen	WORLD	53764		10459
Booysen	South Africa	52009	1:1042	
Booysen	Namibia	1020		
Booysen	England	175		
Booysen	Saudi Arabia	159		
Booysen	Australia	99		
Booysen	United States	77		
